cafe_id,name,category,phone,address,road_address,latitude,longitude,region_code,kakao_place_id,kakao_url,naver_url,providers,matched_queries,raw_match_count
24,무프아파트먼트,음식점 > 카페,02-2298-0397,서울 성동구 하왕십리동 975-20,서울 성동구 무학봉길 82,37.5615204686845,127.031498701771,SEONGSU,500100347,http://place.map.kakao.com/500100347,,KAKAO,성수 루프탑 카페,1
25,맥심플랜트,음식점 > 카페,070-4287-8557,서울 용산구 한남동 683-140,서울 용산구 이태원로 250,37.53698957357094,127.00099681148605,HAEBANGCHON_HUAM,711864705,http://place.map.kakao.com/711864705,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|한남 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,5
26,폴바셋 한남커피스테이션로스트웍스,음식점 > 카페 > 커피전문점 > 폴바셋,02-792-8310,서울 용산구 한남동 257-13,서울 용산구 한남대로 48,37.533350151365,127.008195858679,YONGSAN_SAMGAKJI,26852037,http://place.map.kakao.com/26852037,,KAKAO,강남 루프탑 카페|용산 루프탑 카페|한남 루프탑 카페|해방촌 루프탑 카페,4
27,코제트,음식점 > 카페,02-2139-9011,서울 용산구 한남동 684-12,서울 용산구 대사관로5길 22,37.5352704672116,127.000579291447,HAEBANGCHON_HUAM,2115286549,http://place.map.kakao.com/2115286549,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|한남 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,5
28,아스티에드빌라트카페,음식점 > 카페,,서울 용산구 한남동 744-29,서울 용산구 이태원로49길 13,37.5370481424417,126.999705821579,HAEBANGCHON_HUAM,1118850411,http://place.map.kakao.com/1118850411,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|한남 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,5
29,보난자커피 한남점,음식점 > 카페 > 커피전문점 > 보난자커피,,서울 용산구 한남동 682-12,서울 용산구 이태원로54길 13,37.5377238731259,127.002172414098,HAEBANGCHON_HUAM,801893852,http://place.map.kakao.com/801893852,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|한남 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,5
30,클럽하우스서울,음식점 > 카페,010-4045-4717,서울 용산구 한남동 66-4,서울 용산구 한남대로20길 7,37.5347233293476,127.007399489033,YONGSAN_SAMGAKJI,69739819,http://place.map.kakao.com/69739819,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|한남 루프탑 카페|해방촌 루프탑 카페,4
31,테이크 블랭크,음식점 > 카페,,서울 용산구 한남동 641-10,서울 용산구 대사관로30길 6-11,37.5327727741546,127.005322062678,YONGSAN_SAMGAKJI,591970180,http://place.map.kakao.com/591970180,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|한남 루프탑 카페|해방촌 루프탑 카페,4
32,서울루덴스,음식점 > 카페,02-795-4151,서울 용산구 이태원동 5-12,서울 용산구 회나무로 69,37.5404177441095,126.994260999632,HAEBANGCHON_HUAM,19615417,http://place.map.kakao.com/19615417,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|한남 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,5
33,콩카페 이태원점,음식점 > 카페 > 커피전문점 > 콩카페,070-7717-0333,서울 용산구 이태원동 34-54,서울 용산구 녹사평대로 168-8,37.53324004328261,126.98945989685845,HAEBANGCHON_HUAM,1886309015,http://place.map.kakao.com/1886309015,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|한남 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,5
34,에브리씽벗더히어로,음식점 > 카페,02-792-7909,서울 용산구 이태원동 210-68,서울 용산구 회나무로 62,37.5400933449703,126.993505181508,HAEBANGCHON_HUAM,21555431,http://place.map.kakao.com/21555431,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|한남 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,5
35,드로우지,음식점 > 카페,,서울 용산구 이태원동 2-5,서울 용산구 회나무로 83,37.5409854293477,126.995541831055,HAEBANGCHON_HUAM,764370388,http://place.map.kakao.com/764370388,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|한남 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,5
36,웰니스카페사유,음식점 > 카페,02-518-8219,서울 용산구 용산동2가 5-84,서울 용산구 신흥로 11,37.5396296181237,126.986328152322,HAEBANGCHON_HUAM,478103433,http://place.map.kakao.com/478103433,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|한남 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,5
37,마하 한남,음식점 > 카페,070-8064-8409,서울 용산구 동빙고동 21-2,서울 용산구 서빙고로91나길 85,37.5244926232332,126.996088082789,HANNAM,1910390625,http://place.map.kakao.com/1910390625,,KAKAO,한남 한강뷰 카페,1
38,아뜰리에남산,음식점 > 카페,0507-1485-0282,서울 용산구 용산동2가 34-20,서울 용산구 신흥로7길 51-5,37.5432785111853,126.985040914117,HAEBANGCHON_HUAM,2053517065,http://place.map.kakao.com/2053517065,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
39,S.caf,음식점 > 카페,010-2238-7912,서울 용산구 용산동2가 14-3,서울 용산구 소월로26길 12,37.5454033064289,126.987062626089,HAEBANGCHON_HUAM,214831310,http://place.map.kakao.com/214831310,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
40,르몽블랑,음식점 > 카페 > 테마카페 > 디저트카페,070-8887-8200,서울 용산구 용산동2가 1-91,서울 용산구 신흥로 99-4,37.5448786623818,126.98485501628461,HAEBANGCHON_HUAM,1316697633,http://place.map.kakao.com/1316697633,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
41,쉘터 해방촌,음식점 > 카페,0503-7151-8980,서울 용산구 용산동2가 19-11,서울 용산구 신흥로11길 49-12,37.5446516920896,126.985504583588,HAEBANGCHON_HUAM,469724609,http://place.map.kakao.com/469724609,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
42,오잇,음식점 > 카페 > 테마카페 > 디저트카페,0507-1418-2073,서울 용산구 용산동2가 1-471,서울 용산구 신흥로 95,37.54553552087409,126.98509138439792,HAEBANGCHON_HUAM,1698143190,http://place.map.kakao.com/1698143190,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
43,타자기,음식점 > 카페,010-4445-8918,서울 용산구 용산동2가 1-508,서울 용산구 신흥로 97-5,37.5452318575497,126.984882102732,HAEBANGCHON_HUAM,1364425160,http://place.map.kakao.com/1364425160,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
44,오랑오랑,음식점 > 카페,02-3789-7007,서울 용산구 용산동2가 1-62,서울 용산구 소월로20길 26-14,37.54512916396182,126.98504167590829,HAEBANGCHON_HUAM,27495682,http://place.map.kakao.com/27495682,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
45,빌라커피,음식점 > 카페,070-8161-8019,서울 용산구 용산동2가 1,서울 용산구 신흥로 101-9,37.5446966669096,126.984904842228,HAEBANGCHON_HUAM,1978415596,http://place.map.kakao.com/1978415596,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
46,리암스카페바,음식점 > 카페,,서울 용산구 용산동2가 5-1119,서울 용산구 소월로20길 64,37.5439451465453,126.984239636664,HAEBANGCHON_HUAM,803550065,http://place.map.kakao.com/803550065,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
47,카페남산아래,음식점 > 카페,,서울 용산구 용산동2가 1-528,서울 용산구 신흥로 94-1,37.545705791770494,126.98494990220203,HAEBANGCHON_HUAM,1245122800,http://place.map.kakao.com/1245122800,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
48,꼮 남산,음식점 > 카페,010-4200-6813,서울 용산구 용산동2가 5-1119,서울 용산구 소월로20길 64,37.5439667740009,126.984265657991,HAEBANGCHON_HUAM,879954064,http://place.map.kakao.com/879954064,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
49,클리프 서울,음식점 > 카페,010-2603-8831,서울 용산구 후암동 406-56,서울 용산구 두텁바위로38길 29-17,37.54741124861967,126.98393110845993,HAEBANGCHON_HUAM,2084318640,http://place.map.kakao.com/2084318640,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
50,카페무니,음식점 > 카페,02-565-1592,서울 용산구 후암동 406-58,서울 용산구 신흥로20길 37,37.5471923059041,126.983931155458,HAEBANGCHON_HUAM,1645884004,http://place.map.kakao.com/1645884004,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
51,마우카,음식점 > 카페,,서울 용산구 후암동 406-57,서울 용산구 신흥로20길 39,37.54727881285463,126.98401261281353,HAEBANGCHON_HUAM,510788595,http://place.map.kakao.com/510788595,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,4
52,오드시티,음식점 > 카페,0502-5554-4452,서울 용산구 후암동 406-114,서울 용산구 두텁바위로40길 28-14,37.5474977264161,126.983798691131,YONGSAN_SAMGAKJI,737205089,http://place.map.kakao.com/737205089,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페,2
53,해방공원(HB01),음식점 > 카페,02-6956-0157,서울 용산구 용산동2가 1-475,서울 용산구 신흥로 95-7,37.545397671294964,126.9851174382277,YONGSAN_SAMGAKJI,1932939730,http://place.map.kakao.com/1932939730,,KAKAO,용산 루프탑 카페|이태원 루프탑 카페,2
54,블러,음식점 > 카페 > 테마카페 > 디저트카페,070-7807-9670,서울 마포구 합정동 198-26,서울 마포구 토정로 28-10,37.545044882994695,126.91420389220123,HAPJEONG_MANGWON,760043078,http://place.map.kakao.com/760043078,,KAKAO,합정 루프탑 카페,1
55,머씨커피,음식점 > 카페 > 테마카페 > 디저트카페,02-332-1211,서울 마포구 서교동 394-51,서울 마포구 양화로8길 32-10,37.5495061275321,126.916013934974,HAPJEONG_MANGWON,1068887729,http://place.map.kakao.com/1068887729,,KAKAO,합정 루프탑 카페,1
56,브라운시티카페 상수점,음식점 > 카페,010-5555-2896,서울 마포구 서교동 403-10,서울 마포구 어울마당로 41,37.5489541451727,126.920391718911,HAPJEONG_MANGWON,1657897511,http://place.map.kakao.com/1657897511,,KAKAO,합정 루프탑 카페,1
57,Uig,음식점 > 카페,02-336-1256,서울 마포구 망원동 420-4,서울 마포구 망원로3길 7,37.5570452277427,126.901446547304,HAPJEONG_MANGWON,659749618,http://place.map.kakao.com/659749618,,KAKAO,망원 루프탑 카페|합정 루프탑 카페,2
58,컴포즈커피 홍대동교점,음식점 > 카페 > 커피전문점 > 컴포즈커피,02-336-3133,서울 마포구 동교동 206-14,서울 마포구 월드컵북로 12,37.556210956512786,126.92065109149203,HAPJEONG_MANGWON,853407271,http://place.map.kakao.com/853407271,,KAKAO,합정 루프탑 카페,1
59,빙츄르 홍대점,음식점 > 카페,,서울 마포구 서교동 346-53,서울 마포구 홍익로2길 13,37.5543803136449,126.923663400213,HAPJEONG_MANGWON,261139718,http://place.map.kakao.com/261139718,,KAKAO,합정 루프탑 카페,1
60,핏크,음식점 > 카페 > 테마카페 > 디저트카페,,서울 마포구 성산동 208-13,서울 마포구 성미산로11길 13,37.561189563815475,126.91629962246787,HAPJEONG_MANGWON,1436367933,http://place.map.kakao.com/1436367933,,KAKAO,합정 루프탑 카페,1
61,골든크레마,음식점 > 카페,,서울 마포구 동교동 164-13,서울 마포구 어울마당로 121,37.5555767555293,126.923535425431,HAPJEONG_MANGWON,27601004,http://place.map.kakao.com/27601004,,KAKAO,합정 루프탑 카페,1
62,발코니가든,음식점 > 카페,02-332-1371,서울 마포구 동교동 170-38,서울 마포구 어울마당로 155-1,37.5569196950329,126.927101346878,HAPJEONG_MANGWON,2021049848,http://place.map.kakao.com/2021049848,,KAKAO,합정 루프탑 카페,1
63,카페 드 래빗,음식점 > 카페,02-332-7988,서울 마포구 연남동 259,서울 마포구 동교로29길 10,37.5611073200352,126.923914592108,HAPJEONG_MANGWON,987265580,http://place.map.kakao.com/987265580,,KAKAO,합정 루프탑 카페,1
64,CVL랩,음식점 > 카페,02-6953-7302,서울 마포구 연남동 373-7,서울 마포구 동교로 227-13,37.56087272001019,126.92338740470342,HAPJEONG_MANGWON,128022235,http://place.map.kakao.com/128022235,,KAKAO,합정 루프탑 카페,1
65,톤앤매너,음식점 > 카페,02-332-8252,서울 마포구 서교동 337-10,서울 마포구 와우산로29가길 13,37.5542717317149,126.928688328087,HAPJEONG_MANGWON,1960387368,http://place.map.kakao.com/1960387368,,KAKAO,합정 루프탑 카페,1
66,무심,음식점 > 카페,0502-5550-5676,서울 마포구 연남동 383-72,서울 마포구 연희로1길 55,37.5613277479243,126.926256108249,HAPJEONG_MANGWON,1455452713,http://place.map.kakao.com/1455452713,,KAKAO,합정 루프탑 카페,1
67,커비스컵케이크,음식점 > 카페 > 테마카페 > 디저트카페,0507-1414-7963,서울 마포구 연남동 390-34,서울 마포구 동교로38길 29,37.5615913706696,126.925667298752,HAPJEONG_MANGWON,1201420394,http://place.map.kakao.com/1201420394,,KAKAO,합정 루프탑 카페,1
68,센트럴사이트 연남점,음식점 > 카페,02-335-7779,서울 마포구 동교동 117-3,서울 마포구 연희로 29-1,37.561549752765,126.926834252341,HAPJEONG_MANGWON,2045958342,http://place.map.kakao.com/2045958342,,KAKAO,합정 루프탑 카페,1
69,동동 찻집,음식점 > 카페 > 전통찻집,0503-7151-8009,서울 마포구 연남동 390-65,서울 마포구 동교로38안길 11,37.5623881561013,126.924725949482,HAPJEONG_MANGWON,1269050664,http://place.map.kakao.com/1269050664,,KAKAO,합정 루프탑 카페,1
70,헤이쥬드,음식점 > 카페 > 커피전문점,010-6566-4796,서울 마포구 동교동 189-2,서울 마포구 와우산로37길 7,37.5558765648485,126.930461366924,HAPJEONG_MANGWON,67926579,http://place.map.kakao.com/67926579,,KAKAO,합정 루프탑 카페,1
71,청23,음식점 > 카페,02-324-2023,서울 마포구 동교동 113-85,서울 마포구 연희로 23,37.5609359924527,126.926541712092,HAPJEONG_MANGWON,2097191611,http://place.map.kakao.com/2097191611,,KAKAO,합정 루프탑 카페,1
72,서당개2년로스터스,음식점 > 카페,02-332-7133,서울 마포구 연남동 454-13,서울 마포구 동교로51길 129-6,37.5662710734055,126.920042780043,HAPJEONG_MANGWON,262767594,http://place.map.kakao.com/262767594,,KAKAO,합정 루프탑 카페,1
73,목수의딸카페,음식점 > 카페,02-323-7868,서울 마포구 동교동 188-1,서울 마포구 와우산로38길 2,37.5555668664509,126.930878133251,HAPJEONG_MANGWON,2030992601,http://place.map.kakao.com/2030992601,,KAKAO,합정 루프탑 카페,1
74,퍼스트커피랩 홍대점,음식점 > 카페,,서울 마포구 동교동 179-10,서울 마포구 신촌로4길 5-25,37.55726191891583,126.92981950294029,HAPJEONG_MANGWON,939403724,http://place.map.kakao.com/939403724,,KAKAO,합정 루프탑 카페,1
75,독수리다방,음식점 > 카페 > 다방,02-363-1222,서울 서대문구 창천동 31-4,서울 서대문구 연세로 36,37.558781568940425,126.93723126168338,HAPJEONG_MANGWON,18826661,http://place.map.kakao.com/18826661,,KAKAO,합정 루프탑 카페,1
76,오버딥,음식점 > 카페 > 테마카페 > 디저트카페,02-6380-0061,서울 마포구 연남동 240-41,서울 마포구 성미산로 149-8,37.5646494008622,126.922933051953,HAPJEONG_MANGWON,1909729939,http://place.map.kakao.com/1909729939,,KAKAO,합정 루프탑 카페,1
77,메리트리,음식점 > 카페 > 테마카페 > 디저트카페,,서울 마포구 연남동 241-18,서울 마포구 성미산로29안길 17,37.565282025063006,126.92312482019241,HAPJEONG_MANGWON,1201558520,http://place.map.kakao.com/1201558520,,KAKAO,합정 루프탑 카페,1
78,연베이크샵,음식점 > 카페,,서울 마포구 연남동 239-4,서울 마포구 성미산로 172,37.564096474919,126.924772900806,HAPJEONG_MANGWON,1518304694,http://place.map.kakao.com/1518304694,,KAKAO,합정 루프탑 카페,1
79,포레스트검프,음식점 > 카페,010-5422-5637,서울 서대문구 연희동 192-6,서울 서대문구 연희맛로 7-17,37.5662627607664,126.92813358823,HAPJEONG_MANGWON,171951605,http://place.map.kakao.com/171951605,,KAKAO,합정 루프탑 카페,1
80,허그허그러브,음식점 > 카페 > 커피전문점,0503-7152-8428,서울 마포구 연남동 453-9,서울 마포구 동교로51길 111,37.566300449817,126.920850923446,HAPJEONG_MANGWON,2000966974,http://place.map.kakao.com/2000966974,,KAKAO,합정 루프탑 카페,1
81,카페바람,음식점 > 카페,02-330-4394,서울 서대문구 창천동 4-113,서울 서대문구 연세로2나길 57,37.55794769037941,126.93981579490435,HAPJEONG_MANGWON,193971778,http://place.map.kakao.com/193971778,,KAKAO,합정 루프탑 카페,1
82,썸이프,음식점 > 카페,0507-1383-6909,서울 마포구 대흥동 245-13,서울 마포구 백범로16안길 3,37.5467233663599,126.9422385261,HAPJEONG_MANGWON,1770013018,http://place.map.kakao.com/1770013018,,KAKAO,합정 루프탑 카페,1
83,파크사이드,음식점 > 카페,0503-7152-9044,서울 마포구 대흥동 241-40,서울 마포구 백범로16안길 31,37.54632408677434,126.9438219362931,HAPJEONG_MANGWON,1644811137,http://place.map.kakao.com/1644811137,,KAKAO,합정 루프탑 카페,1
84,카페비유,음식점 > 카페,,서울 영등포구 영등포동8가 1,서울 영등포구 국회대로53길 1,37.52569126032546,126.90689081879887,HAPJEONG_MANGWON,631341688,http://place.map.kakao.com/631341688,,KAKAO,합정 루프탑 카페,1
85,바나프레소 신촌점,음식점 > 카페 > 바나프레소,070-8998-8981,서울 서대문구 창천동 13-29,서울 서대문구 명물길 14,37.5575294173655,126.93767370034,HAPJEONG_MANGWON,930505287,http://place.map.kakao.com/930505287,,KAKAO,합정 루프탑 카페,1
86,노을카페,음식점 > 카페,,경기 평택시 평택동 158-2,경기 평택시 원평로39번길 22-1,36.9889840813085,127.083562371535,HAPJEONG_MANGWON,1205209884,http://place.map.kakao.com/1205209884,,KAKAO,합정 노을 카페,1
87,개뿔,음식점 > 카페 > 테마카페 > 갤러리카페,02-765-2019,서울 종로구 이화동 9-443,서울 종로구 낙산성곽서1길 26,37.5781910083009,127.008069450086,JONGNO_EULJIRO,890843625,http://place.map.kakao.com/890843625,,KAKAO,을지로 루프탑 카페|종로 루프탑 카페,2
88,반쥴,음식점 > 카페 > 커피전문점,02-735-5437,서울 종로구 관철동 12-16,서울 종로구 삼일대로17길 23,37.5690615964593,126.986190337567,HAEBANGCHON_HUAM,10405822,http://place.map.kakao.com/10405822,,KAKAO,북촌 루프탑 카페|서촌 루프탑 카페|을지로 루프탑 카페|종로 루프탑 카페|해방촌 루프탑 카페|후암동 루프탑 카페,6
89,리제로 서울,음식점 > 카페,,서울 종로구 신문로2가 1-348,서울 종로구 경희궁3길 3-5,37.5729539965698,126.968095755928,BUKCHON_SEOCHON,1398571605,http://place.map.kakao.com/1398571605,,KAKAO,북촌 루프탑 카페|서촌 루프탑 카페|종로 루프탑 카페|후암동 루프탑 카페,4
90,카페트레블,음식점 > 카페,02-747-1056,서울 종로구 동숭동 129-215,서울 종로구 낙산3길 19-8,37.580003907709,127.006452999541,JONGNO_EULJIRO,27226023,http://place.map.kakao.com/27226023,,KAKAO,북촌 루프탑 카페|종로 루프탑 카페,2
91,트마리,음식점 > 카페,010-8189-1071,서울 종로구 권농동 182-7,서울 종로구 서순라길 107-1,37.574965423667,126.991577704968,JONGNO_EULJIRO,871897654,http://place.map.kakao.com/871897654,,KAKAO,북촌 루프탑 카페|서촌 루프탑 카페|을지로 루프탑 카페|종로 루프탑 카페,4
92,티퍼런스 서울,음식점 > 카페 > 테마카페 > 갤러리카페,02-745-1501,서울 종로구 묘동 141,서울 종로구 돈화문로 61,37.5739130138516,126.990930312073,JONGNO_EULJIRO,870916614,http://place.map.kakao.com/870916614,,KAKAO,북촌 루프탑 카페|서촌 루프탑 카페|을지로 루프탑 카페|종로 루프탑 카페,4
93,퍼블릭가든,음식점 > 카페,0507-1375-3402,서울 종로구 예지동 269-25,서울 종로구 청계천로 199,37.5696606647617,126.999690978029,JONGNO_EULJIRO,1427828053,http://place.map.kakao.com/1427828053,,KAKAO,북촌 루프탑 카페|을지로 루프탑 카페|종로 루프탑 카페,3
94,올덴브라운 동묘점,음식점 > 카페,,서울 종로구 숭인동 72-55,서울 종로구 종로 369-1,37.57409573374982,127.01838393551054,JONGNO_EULJIRO,1441616415,http://place.map.kakao.com/1441616415,,KAKAO,종로 루프탑 카페,1
